family,trial_number,state,value,duration_seconds,elapsed_seconds,best_epoch,n_hidden,batch_size,learning_rate,weight_decay,readout_width,readout_depth,feature_width,feature_depth,checkpoint_path
gru,0,TrialState.COMPLETE,7.21284641258535e-06,1779.335463,1779.2706636249932,217,8,16,0.0008722644857716459,3.5162532138189827e-06,128,3,16,3,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0000.pt
gru,1,TrialState.COMPLETE,9.159458386420738e-06,796.445958,796.4238625410071,217,8,32,0.000503708116283024,0.0002212134018525576,128,2,16,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0001.pt
gru,2,TrialState.COMPLETE,4.864781203650637e-06,803.372149,803.3460334170086,220,32,32,0.0002363075394940121,1.2273343427037579e-05,192,2,16,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0002.pt
gru,3,TrialState.COMPLETE,1.1880924830620643e-06,3318.145774,3318.12464324999,215,40,8,0.0017398302796616445,1.6882313858542968e-05,96,4,32,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0003.pt
gru,4,TrialState.COMPLETE,4.731130957225105e-06,1845.323628,1845.3025234160013,208,12,16,0.00032411209427712955,0.0002764292890638718,128,3,64,3,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0004.pt
gru,5,TrialState.COMPLETE,7.01675617165165e-06,960.049202,960.0193885830085,215,16,32,0.0005028094536203313,0.006419491545112786,192,2,16,3,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0005.pt
gru,6,TrialState.COMPLETE,2.2354588509188034e-06,907.756877,907.7338932499988,208,28,32,0.004113101630115934,0.00816234366285431,192,2,16,3,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0006.pt
gru,7,TrialState.COMPLETE,5.8629470913729165e-06,3399.814329,3399.7817272920074,205,4,8,0.0038834949738465996,0.00012567990806245158,192,3,64,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0007.pt
gru,8,TrialState.COMPLETE,1.8963168031405075e-06,1709.807843,1709.7765480840026,129,44,16,0.0013148716899966935,0.0018098896018151006,128,4,64,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0008.pt
gru,9,TrialState.COMPLETE,6.426749678212218e-06,1454.005677,1453.987146667001,219,32,16,0.0001829415923582823,0.008929489332002428,192,2,32,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0009.pt
gru,10,TrialState.COMPLETE,1.1510612694110023e-06,3003.033526,3003.0109461669927,207,48,8,0.0017806980439500808,1.8044989047379548e-05,96,4,32,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0010.pt
gru,11,TrialState.COMPLETE,1.2163221754235565e-06,3180.432664,3180.3914023339894,216,48,8,0.0018177929193890178,1.8123914365651553e-05,96,4,32,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0011.pt
gru,12,TrialState.COMPLETE,8.36028618778073e-07,3266.510627,3266.4820666250016,215,40,8,0.0020246394393832255,2.486113705217959e-05,96,4,32,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0012.pt
gru,13,TrialState.COMPLETE,1.2606675454662764e-06,6442.874738,3181.561108791997,219,40,8,0.0001014003804210052,1.225217127135918e-06,96,4,96,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0013.pt
gru,14,TrialState.COMPLETE,9.95240156953514e-07,2365.729682,2365.709584250013,220,48,8,0.00246452023709454,3.4027119269615646e-05,64,4,32,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0014.pt
gru,15,TrialState.COMPLETE,8.969670943770325e-07,2637.623627,2637.6007324999955,209,36,8,0.0029079488269897792,5.475194305665423e-05,64,4,32,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0015.pt
gru,16,TrialState.COMPLETE,1.1021827504009707e-06,5443.33731,1843.3051569579984,219,20,8,0.0030756565770932733,5.957619804864099e-05,64,3,96,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0016.pt
gru,17,TrialState.COMPLETE,1.168770040749223e-06,1804.230623,1804.2142662919941,211,36,8,0.0010024605967229165,0.0007259395746875949,64,4,32,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0017.pt
gru,18,TrialState.COMPLETE,9.670532108430052e-07,1543.080207,1543.0636379159987,213,24,8,0.002355279954680317,5.051239775223732e-06,64,3,32,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0018.pt
gru,19,TrialState.COMPLETE,1.2042460184602533e-06,2089.047191,2089.0312954160036,207,36,8,0.0049970729413538716,6.119232523850798e-05,96,4,32,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0019.pt
gru,20,TrialState.COMPLETE,1.1199409755136003e-06,1835.459621,1835.444197792007,213,28,8,0.0011989604193171962,0.0005950236038228905,64,4,96,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0020.pt
gru,21,TrialState.COMPLETE,1.124143295783142e-06,1538.132977,1538.109892833003,207,20,8,0.0024888287782881143,4.751082066664655e-06,64,3,32,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0021.pt
gru,22,TrialState.COMPLETE,9.401470038028492e-07,1568.280634,1568.2640682090132,214,24,8,0.002696232122553404,4.9533650558491e-06,64,3,32,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0022.pt
gru,23,TrialState.COMPLETE,8.722415714146337e-07,1693.330106,1693.3128668339923,220,40,8,0.0033542077344422935,1.5814006286694637e-06,64,3,32,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0023.pt
gru,24,TrialState.COMPLETE,9.480334028921789e-07,1592.248846,1592.2018413750047,220,40,8,0.003817683931219727,1.0823340605199034e-06,64,3,32,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0024.pt
gru,25,TrialState.COMPLETE,9.930290616466664e-07,1821.450178,1821.4348035829898,212,36,8,0.0016066306760030926,2.3453763681237607e-06,96,3,32,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0025.pt
gru,26,TrialState.COMPLETE,1.0906845773206442e-06,1821.35996,1821.3359382500057,215,44,8,0.0007206008549292468,4.256075906139441e-05,64,4,32,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0026.pt
gru,27,TrialState.COMPLETE,1.2234528412591317e-06,1761.102342,1761.0861229159927,213,32,8,0.004809552998903901,1.032949994076623e-05,64,4,32,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0027.pt
gru,28,TrialState.COMPLETE,1.3940386907052016e-06,968.676581,968.6569560420176,141,44,16,0.0032203446399962734,9.008216945748149e-05,96,3,64,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0028.pt
