family,trial_number,state,value,duration_seconds,elapsed_seconds,best_epoch,n_hidden,batch_size,learning_rate,weight_decay,readout_width,readout_depth,feature_width,feature_depth,checkpoint_path
lstm,0,TrialState.COMPLETE,8.18918488221243e-06,1099.150074,1099.1317435830133,208,8,16,0.0008722644857716459,3.5162532138189827e-06,128,3,16,3,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0000.pt
lstm,1,TrialState.COMPLETE,1.177344165625982e-05,486.24072,486.2272034159978,219,8,32,0.000503708116283024,0.0002212134018525576,128,2,16,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0001.pt
lstm,2,TrialState.COMPLETE,1.0981157174683176e-05,516.908301,516.8946807500033,217,32,32,0.0002363075394940121,1.2273343427037579e-05,192,2,16,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0002.pt
lstm,3,TrialState.COMPLETE,6.559449957421748e-06,2096.394706,2096.381412000017,218,40,8,0.0017398302796616445,1.6882313858542968e-05,96,4,32,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0003.pt
lstm,4,TrialState.COMPLETE,6.919440693309298e-06,1145.015144,1144.9967290839995,214,12,16,0.00032411209427712955,0.0002764292890638718,128,3,64,3,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0004.pt
lstm,5,TrialState.COMPLETE,8.589683602622245e-06,605.010268,604.9969422920258,220,16,32,0.0005028094536203313,0.006419491545112786,192,2,16,3,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0005.pt
lstm,6,TrialState.COMPLETE,8.33536614663899e-06,616.429391,616.4155411670217,206,28,32,0.004113101630115934,0.00816234366285431,192,2,16,3,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0006.pt
lstm,7,TrialState.COMPLETE,8.252798579633236e-06,2004.233584,2004.22019654201,217,4,8,0.0038834949738465996,0.00012567990806245158,192,3,64,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0007.pt
lstm,8,TrialState.COMPLETE,6.588595169887412e-06,1260.158278,1260.142982874997,218,44,16,0.0013148716899966935,0.0018098896018151006,128,4,64,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0008.pt
lstm,9,TrialState.COMPLETE,8.446396350336727e-06,901.474323,901.4609104160045,219,32,16,0.0001829415923582823,0.008929489332002428,192,2,32,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0009.pt
lstm,10,TrialState.COMPLETE,5.981978574709501e-06,1909.088188,1909.0717619170027,205,48,8,0.0017806980439500808,1.8044989047379548e-05,96,4,32,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0010.pt
lstm,11,TrialState.COMPLETE,6.076928912079893e-06,1866.570445,1866.5533077500004,219,48,8,0.0018177929193890178,1.8123914365651553e-05,96,4,32,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0011.pt
lstm,12,TrialState.COMPLETE,6.031742486811709e-06,1870.819642,1870.8028019579942,212,48,8,0.002050622083636283,2.494389509143592e-05,96,4,32,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0012.pt
lstm,13,TrialState.COMPLETE,5.913087534281658e-06,1890.775694,1890.758837457979,206,40,8,0.0001014003804210052,1.225217127135918e-06,96,4,96,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0013.pt
lstm,14,TrialState.COMPLETE,6.1614832702616695e-06,1891.520198,1891.4848679999996,207,40,8,0.00013526051541629767,1.0854259500483164e-06,64,4,96,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0014.pt
lstm,15,TrialState.COMPLETE,5.956604127277387e-06,2242.106534,2242.0862248330086,209,20,8,0.00010921668619921638,1.3696344190708725e-06,96,4,96,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0015.pt
lstm,16,TrialState.COMPLETE,6.32294222668861e-06,1629.189841,1629.1648449589848,206,20,8,0.00010070959311310102,1.1352522686499398e-06,96,3,96,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0016.pt
lstm,17,TrialState.COMPLETE,6.955260687391274e-06,2471.916844,2471.897438999993,217,24,8,0.00010417842075164838,3.429885760293967e-06,64,4,96,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0017.pt
lstm,18,TrialState.COMPLETE,5.96974314248655e-06,2418.293671,2418.247102207999,204,36,8,0.00027246860672214046,3.6626957632068167e-06,96,3,96,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0018.pt
lstm,19,TrialState.COMPLETE,5.611887900158763e-06,2005.759218,2005.7427040420007,214,24,8,0.00016677901274148637,6.119232523850798e-05,96,4,96,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0019.pt
lstm,20,TrialState.COMPLETE,6.108873094490264e-06,2041.826282,2041.8115948750055,214,28,8,0.00016946537501935456,0.001062896673386595,96,4,96,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0020.pt
lstm,21,TrialState.COMPLETE,6.499894880107604e-06,2001.98532,2001.9643301659962,210,20,8,0.00014501833911862423,6.321195795339765e-05,96,4,96,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0021.pt
lstm,22,TrialState.COMPLETE,6.6099951254727785e-06,1785.415753,1785.4004034170066,189,20,8,0.0003804174886702683,5.203299365943141e-06,96,4,96,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0022.pt
lstm,23,TrialState.COMPLETE,6.165555078041507e-06,1561.997746,1561.9821957079985,209,24,8,0.00010036703529252687,1.6683775218584726e-06,96,3,96,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0023.pt
lstm,24,TrialState.COMPLETE,6.426409527193755e-06,1896.89615,1896.8801417500072,212,16,8,0.0002248765742479274,6.993797035950583e-06,64,4,96,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0024.pt
lstm,25,TrialState.COMPLETE,6.161838427942712e-06,1773.600542,1773.584631958016,220,32,8,0.0001729182219576517,5.2688498724409156e-05,96,4,96,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0025.pt
lstm,26,TrialState.COMPLETE,6.1545624703285284e-06,1795.493284,1795.4774753329984,205,36,8,0.00012227657245423467,0.000640681267978474,96,3,96,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0026.pt
lstm,27,TrialState.COMPLETE,6.357441179716261e-06,1749.281365,1749.265088791988,217,16,8,0.00019589396498693255,2.105393866279075e-06,96,4,96,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0027.pt
lstm,28,TrialState.COMPLETE,6.274035513342824e-06,1117.185811,1117.1700677920016,209,24,16,0.00040614636649553566,3.394690227784838e-05,96,4,96,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0028.pt
lstm,29,TrialState.COMPLETE,6.881310582684819e-06,617.969262,617.9527808330022,216,12,32,0.0007977044227971572,7.0476635892328835e-06,64,3,96,3,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0029.pt
