family,trial_number,state,value,duration_seconds,elapsed_seconds,best_epoch,n_hidden,batch_size,learning_rate,weight_decay,readout_width,readout_depth,feature_width,feature_depth,checkpoint_path
rnn,0,TrialState.COMPLETE,8.373259333893657e-06,1564.24209,1564.1986141250018,195,8,16,0.0008722644857716459,3.5162532138189827e-06,128,3,16,3,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0000.pt
rnn,1,TrialState.COMPLETE,1.27499597510905e-05,553.837317,553.8162356249959,219,8,32,0.000503708116283024,0.0002212134018525576,128,2,16,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0001.pt
rnn,2,TrialState.COMPLETE,9.385291377839167e-06,535.709443,535.688672874996,220,32,32,0.0002363075394940121,1.2273343427037579e-05,192,2,16,1,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0002.pt
rnn,3,TrialState.COMPLETE,7.428163371514529e-06,2485.657354,2485.6369565409987,209,40,8,0.0017398302796616445,1.6882313858542968e-05,96,4,32,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0003.pt
rnn,4,TrialState.COMPLETE,8.384717148146592e-06,1421.75556,1421.7330133750002,219,12,16,0.00032411209427712955,0.0002764292890638718,128,3,64,3,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0004.pt
rnn,5,TrialState.COMPLETE,8.404766958847176e-06,648.364859,648.3066041670027,217,16,32,0.0005028094536203313,0.006419491545112786,192,2,16,3,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0005.pt
rnn,6,TrialState.COMPLETE,8.40940629132092e-06,660.536722,660.5159990829998,211,28,32,0.004113101630115934,0.00816234366285431,192,2,16,3,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0006.pt
rnn,7,TrialState.COMPLETE,8.488479579682462e-06,2340.991521,2340.9737765840036,194,4,8,0.0038834949738465996,0.00012567990806245158,192,3,64,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0007.pt
rnn,8,TrialState.COMPLETE,7.614736205141526e-06,1149.408144,1149.3926007909977,207,44,16,0.0013148716899966935,0.0018098896018151006,128,4,64,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0008.pt
rnn,9,TrialState.COMPLETE,9.420760761713609e-06,762.569808,762.5556940409951,217,32,16,0.0001829415923582823,0.008929489332002428,192,2,32,2,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0009.pt
