family,number,value,elapsed_minutes,n_hidden,batch_size,learning_rate,weight_decay,readout_width,readout_depth,feature_width,feature_depth,user_attrs_best_epoch
gru,12,8.36028618778073e-07,54.44136777708336,40,8,0.0020246394393832,2.486113705217959e-05,96,4,32,1,215
gru,23,8.722415714146337e-07,28.221881113899872,40,8,0.0033542077344422,1.5814006286694637e-06,64,3,32,1,220
gru,15,8.969670943770325e-07,43.96001220833326,36,8,0.0029079488269897,5.475194305665423e-05,64,4,32,1,209
gru,22,9.401470038028492e-07,26.13773447015022,24,8,0.0026962321225534,4.9533650558491e-06,64,3,32,1,214
gru,24,9.480334028921787e-07,26.53669735625008,40,8,0.0038176839312197,1.0823340605199034e-06,64,3,32,1,220
rnn,11,5.440689619717887e-06,24.26765553401662,48,8,0.001817792919389,1.8123914365651553e-05,96,4,32,1,215
lstm,19,5.611887900158763e-06,33.42904506736668,24,8,0.0001667790127414,6.119232523850798e-05,96,4,96,2,214
rnn,22,5.892688477615593e-06,43.74581891389995,44,8,0.0011670654494709,3.7722931542229385e-06,96,4,96,1,207
lstm,13,5.913087534281658e-06,31.512647290966317,40,8,0.000101400380421,1.225217127135918e-06,96,4,96,1,206
lstm,15,5.956604127277387e-06,37.36810374721681,20,8,0.0001092166861992,1.3696344190708723e-06,96,4,96,1,209
lstm,18,5.96974314248655e-06,40.30411837013332,36,8,0.0002724686067221,3.6626957632068167e-06,96,3,96,1,204
lstm,10,5.981978574709501e-06,31.81786269861671,48,8,0.00178069804395,1.8044989047379548e-05,96,4,32,1,205
rnn,16,6.194527941261185e-06,20.95216445416663,36,8,0.0009554330162453,3.83340094419606e-06,96,3,96,1,220
rnn,25,6.465937076427508e-06,40.833665077083424,44,8,0.0009013340476645,3.7151915907069416e-05,96,3,96,2,211
rnn,21,6.512632353405934e-06,36.92228306319982,40,8,0.0011583143973731,2.2695859288772835e-06,96,4,96,1,216
