number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_FEATURE_DEPTH,params_FEATURE_WIDTH,params_GRAD_CLIP_VALUE,params_LEARNING_RATE,params_N_HIDDEN,params_READOUT_DEPTH,params_READOUT_WIDTH,params_WEIGHT_DECAY,user_attrs_best_epoch,user_attrs_checkpoint_path,user_attrs_config,user_attrs_elapsed_seconds,state
0,7.21284641258535e-06,2026-03-28 14:15:46.394730,2026-03-28 14:45:25.730193,0 days 00:29:39.335463,16,3,16,2.0,0.0008722644857716459,8,3,128,3.5162532138189827e-06,217,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0000.pt,"{""BATCH_SIZE"": 16, ""CORE_TYPE"": ""gru"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 3, ""FEATURE_WIDTH"": 16, ""GRAD_CLIP_VALUE"": 2.0, ""LEARNING_RATE"": 0.0008722644857716459, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_gru_trial_0000"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 8, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 3, ""READOUT_WIDTH"": 128, ""SEED"": 20260328, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 3.5162532138189827e-06}",1779.2706636249932,COMPLETE
1,9.159458386420738e-06,2026-03-28 14:45:25.870778,2026-03-28 14:58:42.316736,0 days 00:13:16.445958,32,2,16,2.0,0.000503708116283024,8,2,128,0.0002212134018525576,217,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0001.pt,"{""BATCH_SIZE"": 32, ""CORE_TYPE"": ""gru"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 2, ""FEATURE_WIDTH"": 16, ""GRAD_CLIP_VALUE"": 2.0, ""LEARNING_RATE"": 0.000503708116283024, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_gru_trial_0001"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 8, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 2, ""READOUT_WIDTH"": 128, ""SEED"": 20260329, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.0002212134018525576}",796.4238625410071,COMPLETE
2,4.864781203650637e-06,2026-03-28 14:58:42.444471,2026-03-28 15:12:05.816620,0 days 00:13:23.372149,32,1,16,2.0,0.0002363075394940121,32,2,192,1.2273343427037579e-05,220,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0002.pt,"{""BATCH_SIZE"": 32, ""CORE_TYPE"": ""gru"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 16, ""GRAD_CLIP_VALUE"": 2.0, ""LEARNING_RATE"": 0.0002363075394940121, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_gru_trial_0002"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 32, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 2, ""READOUT_WIDTH"": 192, ""SEED"": 20260330, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 1.2273343427037579e-05}",803.3460334170086,COMPLETE
3,1.1880924830620643e-06,2026-03-28 15:12:05.951703,2026-03-28 16:07:24.097477,0 days 00:55:18.145774,8,2,32,5.0,0.0017398302796616445,40,4,96,1.6882313858542968e-05,215,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0003.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""gru"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 2, ""FEATURE_WIDTH"": 32, ""GRAD_CLIP_VALUE"": 5.0, ""LEARNING_RATE"": 0.0017398302796616445, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_gru_trial_0003"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 40, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 4, ""READOUT_WIDTH"": 96, ""SEED"": 20260331, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 1.6882313858542968e-05}",3318.12464324999,COMPLETE
4,4.731130957225105e-06,2026-03-28 16:07:24.241728,2026-03-28 16:38:09.565356,0 days 00:30:45.323628,16,3,64,5.0,0.00032411209427712955,12,3,128,0.0002764292890638718,208,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0004.pt,"{""BATCH_SIZE"": 16, ""CORE_TYPE"": ""gru"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 3, ""FEATURE_WIDTH"": 64, ""GRAD_CLIP_VALUE"": 5.0, ""LEARNING_RATE"": 0.00032411209427712955, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_gru_trial_0004"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 12, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 3, ""READOUT_WIDTH"": 128, ""SEED"": 20260332, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.0002764292890638718}",1845.3025234160013,COMPLETE
5,7.01675617165165e-06,2026-03-28 16:38:09.687874,2026-03-28 16:54:09.737076,0 days 00:16:00.049202,32,3,16,5.0,0.0005028094536203313,16,2,192,0.006419491545112786,215,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0005.pt,"{""BATCH_SIZE"": 32, ""CORE_TYPE"": ""gru"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 3, ""FEATURE_WIDTH"": 16, ""GRAD_CLIP_VALUE"": 5.0, ""LEARNING_RATE"": 0.0005028094536203313, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_gru_trial_0005"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 16, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 2, ""READOUT_WIDTH"": 192, ""SEED"": 20260333, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.006419491545112786}",960.0193885830085,COMPLETE
6,2.2354588509188034e-06,2026-03-28 16:54:09.864837,2026-03-28 17:09:17.621714,0 days 00:15:07.756877,32,3,16,1.0,0.004113101630115934,28,2,192,0.00816234366285431,208,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0006.pt,"{""BATCH_SIZE"": 32, ""CORE_TYPE"": ""gru"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 3, ""FEATURE_WIDTH"": 16, ""GRAD_CLIP_VALUE"": 1.0, ""LEARNING_RATE"": 0.004113101630115934, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_gru_trial_0006"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 28, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 2, ""READOUT_WIDTH"": 192, ""SEED"": 20260334, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.00816234366285431}",907.7338932499988,COMPLETE
7,5.8629470913729165e-06,2026-03-28 17:09:17.754902,2026-03-28 18:05:57.569231,0 days 00:56:39.814329,8,2,64,2.0,0.0038834949738465996,4,3,192,0.00012567990806245158,205,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0007.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""gru"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 2, ""FEATURE_WIDTH"": 64, ""GRAD_CLIP_VALUE"": 2.0, ""LEARNING_RATE"": 0.0038834949738465996, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_gru_trial_0007"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 4, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 3, ""READOUT_WIDTH"": 192, ""SEED"": 20260335, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.00012567990806245158}",3399.7817272920074,COMPLETE
8,1.8963168031405075e-06,2026-03-28 18:05:57.679367,2026-03-28 18:34:27.487210,0 days 00:28:29.807843,16,2,64,2.0,0.0013148716899966935,44,4,128,0.0018098896018151006,129,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0008.pt,"{""BATCH_SIZE"": 16, ""CORE_TYPE"": ""gru"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 2, ""FEATURE_WIDTH"": 64, ""GRAD_CLIP_VALUE"": 2.0, ""LEARNING_RATE"": 0.0013148716899966935, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_gru_trial_0008"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 44, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 4, ""READOUT_WIDTH"": 128, ""SEED"": 20260336, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.0018098896018151006}",1709.7765480840026,COMPLETE
9,6.426749678212218e-06,2026-03-28 18:34:27.596028,2026-03-28 18:58:41.601705,0 days 00:24:14.005677,16,2,32,2.0,0.0001829415923582823,32,2,192,0.008929489332002428,219,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_gru_trial_0009.pt,"{""BATCH_SIZE"": 16, ""CORE_TYPE"": ""gru"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 2, ""FEATURE_WIDTH"": 32, ""GRAD_CLIP_VALUE"": 2.0, ""LEARNING_RATE"": 0.0001829415923582823, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_gru_trial_0009"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 32, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 2, ""READOUT_WIDTH"": 192, ""SEED"": 20260337, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.008929489332002428}",1453.987146667001,COMPLETE
