number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_FEATURE_DEPTH,params_FEATURE_WIDTH,params_GRAD_CLIP_VALUE,params_LEARNING_RATE,params_N_HIDDEN,params_READOUT_DEPTH,params_READOUT_WIDTH,params_WEIGHT_DECAY,user_attrs_best_epoch,user_attrs_checkpoint_path,user_attrs_config,user_attrs_elapsed_seconds,state
0,8.18918488221243e-06,2026-03-29 08:01:57.956906,2026-03-29 08:20:17.106980,0 days 00:18:19.150074,16,3,16,2.0,0.0008722644857716459,8,3,128,3.5162532138189827e-06,208,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0000.pt,"{""BATCH_SIZE"": 16, ""CORE_TYPE"": ""lstm"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 3, ""FEATURE_WIDTH"": 16, ""GRAD_CLIP_VALUE"": 2.0, ""LEARNING_RATE"": 0.0008722644857716459, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_lstm_trial_0000"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 8, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 3, ""READOUT_WIDTH"": 128, ""SEED"": 20260328, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 3.5162532138189827e-06}",1099.1317435830133,COMPLETE
1,1.177344165625982e-05,2026-03-29 08:20:17.185207,2026-03-29 08:28:23.425927,0 days 00:08:06.240720,32,2,16,2.0,0.000503708116283024,8,2,128,0.0002212134018525576,219,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0001.pt,"{""BATCH_SIZE"": 32, ""CORE_TYPE"": ""lstm"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 2, ""FEATURE_WIDTH"": 16, ""GRAD_CLIP_VALUE"": 2.0, ""LEARNING_RATE"": 0.000503708116283024, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_lstm_trial_0001"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 8, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 2, ""READOUT_WIDTH"": 128, ""SEED"": 20260329, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.0002212134018525576}",486.2272034159978,COMPLETE
2,1.0981157174683176e-05,2026-03-29 08:28:23.513856,2026-03-29 08:37:00.422157,0 days 00:08:36.908301,32,1,16,2.0,0.0002363075394940121,32,2,192,1.2273343427037579e-05,217,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0002.pt,"{""BATCH_SIZE"": 32, ""CORE_TYPE"": ""lstm"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 16, ""GRAD_CLIP_VALUE"": 2.0, ""LEARNING_RATE"": 0.0002363075394940121, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_lstm_trial_0002"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 32, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 2, ""READOUT_WIDTH"": 192, ""SEED"": 20260330, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 1.2273343427037579e-05}",516.8946807500033,COMPLETE
3,6.559449957421748e-06,2026-03-29 08:37:00.515183,2026-03-29 09:11:56.909889,0 days 00:34:56.394706,8,2,32,5.0,0.0017398302796616445,40,4,96,1.6882313858542968e-05,218,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0003.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""lstm"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 2, ""FEATURE_WIDTH"": 32, ""GRAD_CLIP_VALUE"": 5.0, ""LEARNING_RATE"": 0.0017398302796616445, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_lstm_trial_0003"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 40, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 4, ""READOUT_WIDTH"": 96, ""SEED"": 20260331, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 1.6882313858542968e-05}",2096.381412000017,COMPLETE
4,6.919440693309298e-06,2026-03-29 09:11:56.991026,2026-03-29 09:31:02.006170,0 days 00:19:05.015144,16,3,64,5.0,0.00032411209427712955,12,3,128,0.0002764292890638718,214,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0004.pt,"{""BATCH_SIZE"": 16, ""CORE_TYPE"": ""lstm"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 3, ""FEATURE_WIDTH"": 64, ""GRAD_CLIP_VALUE"": 5.0, ""LEARNING_RATE"": 0.00032411209427712955, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_lstm_trial_0004"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 12, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 3, ""READOUT_WIDTH"": 128, ""SEED"": 20260332, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.0002764292890638718}",1144.9967290839995,COMPLETE
5,8.589683602622245e-06,2026-03-29 09:31:02.099545,2026-03-29 09:41:07.109813,0 days 00:10:05.010268,32,3,16,5.0,0.0005028094536203313,16,2,192,0.006419491545112786,220,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0005.pt,"{""BATCH_SIZE"": 32, ""CORE_TYPE"": ""lstm"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 3, ""FEATURE_WIDTH"": 16, ""GRAD_CLIP_VALUE"": 5.0, ""LEARNING_RATE"": 0.0005028094536203313, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_lstm_trial_0005"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 16, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 2, ""READOUT_WIDTH"": 192, ""SEED"": 20260333, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.006419491545112786}",604.9969422920258,COMPLETE
6,8.33536614663899e-06,2026-03-29 09:41:07.213999,2026-03-29 09:51:23.643390,0 days 00:10:16.429391,32,3,16,1.0,0.004113101630115934,28,2,192,0.00816234366285431,206,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0006.pt,"{""BATCH_SIZE"": 32, ""CORE_TYPE"": ""lstm"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 3, ""FEATURE_WIDTH"": 16, ""GRAD_CLIP_VALUE"": 1.0, ""LEARNING_RATE"": 0.004113101630115934, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_lstm_trial_0006"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 28, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 2, ""READOUT_WIDTH"": 192, ""SEED"": 20260334, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.00816234366285431}",616.4155411670217,COMPLETE
7,8.252798579633236e-06,2026-03-29 09:51:23.721387,2026-03-29 10:24:47.954971,0 days 00:33:24.233584,8,2,64,2.0,0.0038834949738465996,4,3,192,0.00012567990806245158,217,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0007.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""lstm"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 2, ""FEATURE_WIDTH"": 64, ""GRAD_CLIP_VALUE"": 2.0, ""LEARNING_RATE"": 0.0038834949738465996, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_lstm_trial_0007"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 4, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 3, ""READOUT_WIDTH"": 192, ""SEED"": 20260335, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.00012567990806245158}",2004.22019654201,COMPLETE
8,6.588595169887412e-06,2026-03-29 10:24:48.037359,2026-03-29 10:45:48.195637,0 days 00:21:00.158278,16,2,64,2.0,0.0013148716899966935,44,4,128,0.0018098896018151006,218,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0008.pt,"{""BATCH_SIZE"": 16, ""CORE_TYPE"": ""lstm"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 2, ""FEATURE_WIDTH"": 64, ""GRAD_CLIP_VALUE"": 2.0, ""LEARNING_RATE"": 0.0013148716899966935, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_lstm_trial_0008"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 44, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 4, ""READOUT_WIDTH"": 128, ""SEED"": 20260336, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.0018098896018151006}",1260.142982874997,COMPLETE
9,8.446396350336727e-06,2026-03-29 10:45:48.283125,2026-03-29 11:00:49.757448,0 days 00:15:01.474323,16,2,32,2.0,0.0001829415923582823,32,2,192,0.008929489332002428,219,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_lstm_trial_0009.pt,"{""BATCH_SIZE"": 16, ""CORE_TYPE"": ""lstm"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 2, ""FEATURE_WIDTH"": 32, ""GRAD_CLIP_VALUE"": 2.0, ""LEARNING_RATE"": 0.0001829415923582823, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_lstm_trial_0009"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 32, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 2, ""READOUT_WIDTH"": 192, ""SEED"": 20260337, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.008929489332002428}",901.4609104160045,COMPLETE
