number,value,datetime_start,datetime_complete,duration,params_BATCH_SIZE,params_FEATURE_DEPTH,params_FEATURE_WIDTH,params_GRAD_CLIP_VALUE,params_LEARNING_RATE,params_N_HIDDEN,params_READOUT_DEPTH,params_READOUT_WIDTH,params_WEIGHT_DECAY,user_attrs_best_epoch,user_attrs_checkpoint_path,user_attrs_config,user_attrs_elapsed_seconds,state
0,8.373259333893657e-06,2026-03-28 01:01:00.726390,2026-03-28 01:27:04.968480,0 days 00:26:04.242090,16,3,16,2.0,0.0008722644857716459,8,3,128,3.5162532138189827e-06,195,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0000.pt,"{""BATCH_SIZE"": 16, ""CORE_TYPE"": ""rnn"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 3, ""FEATURE_WIDTH"": 16, ""GRAD_CLIP_VALUE"": 2.0, ""LEARNING_RATE"": 0.0008722644857716459, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_rnn_trial_0000"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 8, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 3, ""READOUT_WIDTH"": 128, ""SEED"": 20260328, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 3.5162532138189827e-06}",1564.1986141250018,COMPLETE
1,1.27499597510905e-05,2026-03-28 01:27:05.078089,2026-03-28 01:36:18.915406,0 days 00:09:13.837317,32,2,16,2.0,0.000503708116283024,8,2,128,0.0002212134018525576,219,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0001.pt,"{""BATCH_SIZE"": 32, ""CORE_TYPE"": ""rnn"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 2, ""FEATURE_WIDTH"": 16, ""GRAD_CLIP_VALUE"": 2.0, ""LEARNING_RATE"": 0.000503708116283024, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_rnn_trial_0001"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 8, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 2, ""READOUT_WIDTH"": 128, ""SEED"": 20260329, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.0002212134018525576}",553.8162356249959,COMPLETE
2,9.385291377839167e-06,2026-03-28 01:36:19.013550,2026-03-28 01:45:14.722993,0 days 00:08:55.709443,32,1,16,2.0,0.0002363075394940121,32,2,192,1.2273343427037579e-05,220,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0002.pt,"{""BATCH_SIZE"": 32, ""CORE_TYPE"": ""rnn"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 1, ""FEATURE_WIDTH"": 16, ""GRAD_CLIP_VALUE"": 2.0, ""LEARNING_RATE"": 0.0002363075394940121, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_rnn_trial_0002"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 32, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 2, ""READOUT_WIDTH"": 192, ""SEED"": 20260330, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 1.2273343427037579e-05}",535.688672874996,COMPLETE
3,7.428163371514529e-06,2026-03-28 01:45:14.863021,2026-03-28 02:26:40.520375,0 days 00:41:25.657354,8,2,32,5.0,0.0017398302796616445,40,4,96,1.6882313858542968e-05,209,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0003.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""rnn"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 2, ""FEATURE_WIDTH"": 32, ""GRAD_CLIP_VALUE"": 5.0, ""LEARNING_RATE"": 0.0017398302796616445, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_rnn_trial_0003"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 40, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 4, ""READOUT_WIDTH"": 96, ""SEED"": 20260331, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 1.6882313858542968e-05}",2485.6369565409987,COMPLETE
4,8.384717148146592e-06,2026-03-28 02:26:40.651705,2026-03-28 02:50:22.407265,0 days 00:23:41.755560,16,3,64,5.0,0.00032411209427712955,12,3,128,0.0002764292890638718,219,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0004.pt,"{""BATCH_SIZE"": 16, ""CORE_TYPE"": ""rnn"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 3, ""FEATURE_WIDTH"": 64, ""GRAD_CLIP_VALUE"": 5.0, ""LEARNING_RATE"": 0.00032411209427712955, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_rnn_trial_0004"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 12, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 3, ""READOUT_WIDTH"": 128, ""SEED"": 20260332, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.0002764292890638718}",1421.7330133750002,COMPLETE
5,8.404766958847176e-06,2026-03-28 02:50:22.507631,2026-03-28 03:01:10.872490,0 days 00:10:48.364859,32,3,16,5.0,0.0005028094536203313,16,2,192,0.006419491545112786,217,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0005.pt,"{""BATCH_SIZE"": 32, ""CORE_TYPE"": ""rnn"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 3, ""FEATURE_WIDTH"": 16, ""GRAD_CLIP_VALUE"": 5.0, ""LEARNING_RATE"": 0.0005028094536203313, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_rnn_trial_0005"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 16, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 2, ""READOUT_WIDTH"": 192, ""SEED"": 20260333, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.006419491545112786}",648.3066041670027,COMPLETE
6,8.40940629132092e-06,2026-03-28 03:01:10.970536,2026-03-28 03:12:11.507258,0 days 00:11:00.536722,32,3,16,1.0,0.004113101630115934,28,2,192,0.00816234366285431,211,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0006.pt,"{""BATCH_SIZE"": 32, ""CORE_TYPE"": ""rnn"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 3, ""FEATURE_WIDTH"": 16, ""GRAD_CLIP_VALUE"": 1.0, ""LEARNING_RATE"": 0.004113101630115934, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_rnn_trial_0006"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 28, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 2, ""READOUT_WIDTH"": 192, ""SEED"": 20260334, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.00816234366285431}",660.5159990829998,COMPLETE
7,8.488479579682462e-06,2026-03-28 03:12:11.601303,2026-03-28 03:51:12.592824,0 days 00:39:00.991521,8,2,64,2.0,0.0038834949738465996,4,3,192,0.00012567990806245158,194,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0007.pt,"{""BATCH_SIZE"": 8, ""CORE_TYPE"": ""rnn"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 2, ""FEATURE_WIDTH"": 64, ""GRAD_CLIP_VALUE"": 2.0, ""LEARNING_RATE"": 0.0038834949738465996, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_rnn_trial_0007"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 4, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 3, ""READOUT_WIDTH"": 192, ""SEED"": 20260335, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.00012567990806245158}",2340.9737765840036,COMPLETE
8,7.614736205141526e-06,2026-03-28 03:51:12.678858,2026-03-28 04:10:22.087002,0 days 00:19:09.408144,16,2,64,2.0,0.0013148716899966935,44,4,128,0.0018098896018151006,207,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0008.pt,"{""BATCH_SIZE"": 16, ""CORE_TYPE"": ""rnn"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 2, ""FEATURE_WIDTH"": 64, ""GRAD_CLIP_VALUE"": 2.0, ""LEARNING_RATE"": 0.0013148716899966935, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_rnn_trial_0008"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 44, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 4, ""READOUT_WIDTH"": 128, ""SEED"": 20260336, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.0018098896018151006}",1149.3926007909977,COMPLETE
9,9.420760761713609e-06,2026-03-28 04:10:22.173638,2026-03-28 04:23:04.743446,0 days 00:12:42.569808,16,2,32,2.0,0.0001829415923582823,32,2,192,0.008929489332002428,217,/Users/jackhenry/Library/CloudStorage/OneDrive-UniversityofCambridge/Labs and Courswork/IIB Coursework/4C11/4C11_assignment_3/artifacts/checkpoints/optuna_rnn_trial_0009.pt,"{""BATCH_SIZE"": 16, ""CORE_TYPE"": ""rnn"", ""EARLY_STOPPING_PATIENCE"": 60, ""EPOCHS"": 220, ""FEATURE_DEPTH"": 2, ""FEATURE_WIDTH"": 32, ""GRAD_CLIP_VALUE"": 2.0, ""LEARNING_RATE"": 0.0001829415923582823, ""LR_FACTOR"": 0.5, ""LR_PATIENCE"": 15, ""MIN_EPOCHS"": 90, ""MODEL_TAG"": ""optuna_rnn_trial_0009"", ""NUM_WORKERS"": 0, ""N_HIDDEN"": 32, ""PRINT_EVERY_EPOCHS"": 10, ""READOUT_DEPTH"": 2, ""READOUT_WIDTH"": 192, ""SEED"": 20260337, ""SHUFFLE"": true, ""USE_TRUE_INITIAL_OUTPUT"": true, ""VERBOSE"": false, ""WEIGHT_DECAY"": 0.008929489332002428}",762.5556940409951,COMPLETE
