variant,n_hidden,seed,best_val_loss,best_epoch,checkpoint_path,device,search_stage,search_order
paper_rno_no_rate,0,20260341,0.0398268401622772,65,artifacts/checkpoints/09_paper_rno_no_rate_h0to5_paper_rno_h0_seed_20260341.pt,cpu,grid,0
paper_rno_no_rate,1,20260341,0.035212468355894,197,artifacts/checkpoints/09_paper_rno_no_rate_h0to5_paper_rno_h1_seed_20260341.pt,cpu,grid,1
paper_rno_no_rate,2,20260341,0.0235887710005044,217,artifacts/checkpoints/09_paper_rno_no_rate_h0to5_paper_rno_h2_seed_20260341.pt,cpu,grid,2
paper_rno_no_rate,3,20260341,0.0191351156681776,218,artifacts/checkpoints/09_paper_rno_no_rate_h0to5_paper_rno_h3_seed_20260341.pt,cpu,grid,3
paper_rno_no_rate,4,20260341,0.0185535494238138,212,artifacts/checkpoints/09_paper_rno_no_rate_h0to5_paper_rno_h4_seed_20260341.pt,cpu,grid,4
paper_rno_no_rate,5,20260341,0.0192248094826936,206,artifacts/checkpoints/09_paper_rno_no_rate_h0to5_paper_rno_h5_seed_20260341.pt,cpu,grid,5
paper_rno_with_rate,0,20260341,8.739460099604912e-06,219,artifacts/checkpoints/09_paper_rno_with_rate_h0to5_paper_rno_h0_seed_20260341.pt,cpu,grid,0
paper_rno_with_rate,1,20260341,7.922600161691662e-06,212,artifacts/checkpoints/09_paper_rno_with_rate_h0to5_paper_rno_h1_seed_20260341.pt,cpu,grid,1
paper_rno_with_rate,2,20260341,7.46435034670867e-06,69,artifacts/checkpoints/09_paper_rno_with_rate_h0to5_paper_rno_h2_seed_20260341.pt,cpu,grid,2
paper_rno_with_rate,3,20260341,5.711676294595236e-06,211,artifacts/checkpoints/09_paper_rno_with_rate_h0to5_paper_rno_h3_seed_20260341.pt,cpu,grid,3
paper_rno_with_rate,4,20260341,5.95334267927683e-06,213,artifacts/checkpoints/09_paper_rno_with_rate_h0to5_paper_rno_h4_seed_20260341.pt,cpu,grid,4
paper_rno_with_rate,5,20260341,5.357938334782375e-06,218,artifacts/checkpoints/09_paper_rno_with_rate_h0to5_paper_rno_h5_seed_20260341.pt,cpu,grid,5
