model_label,model_color,loading_class,loading_class_label,n_samples,mean_sample_relative_l2,median_sample_relative_l2,mean_sample_rmse,mean_sample_mae,mean_sample_max_abs_error
best_gru,#2ca02c,monotonic_slow,Monotonic slow,2,0.0007036395254544914,0.0007036395254544914,0.0003506121865939349,0.00026394540327601135,0.0024761557579040527
paper_h0_no_rate,#1f77b4,monotonic_slow,Monotonic slow,2,0.28065715730190277,0.28065715730190277,0.13986573368310928,0.11738060414791107,0.3763484060764313
paper_h0_with_rate,#d62728,monotonic_slow,Monotonic slow,2,0.00276007829234004,0.00276007829234004,0.0013748136116191745,0.0011080082622356713,0.006307542324066162
best_gru,#2ca02c,monotonic_fast,Monotonic fast,2,0.0021917460253462195,0.0021917460253462195,0.0010514621098991483,0.0004086213739356026,0.01455649733543396
paper_h0_no_rate,#1f77b4,monotonic_fast,Monotonic fast,2,0.3563689589500427,0.3563689589500427,0.17167840152978897,0.13143007084727287,0.6334843337535858
paper_h0_with_rate,#d62728,monotonic_fast,Monotonic fast,2,0.0049569744151085615,0.0049569744151085615,0.0023964965948835015,0.0016345694311894476,0.01662471890449524
best_gru,#2ca02c,cyclic_or_reversing,Cyclic / reversing,52,0.0031835520819116095,0.002189543447457254,0.0010097635341270899,0.00037821741072828165,0.016330136702610895
paper_h0_no_rate,#1f77b4,cyclic_or_reversing,Cyclic / reversing,52,0.8065201605741794,0.8079992234706879,0.2519624187396123,0.20754007192758414,0.7027948750899389
paper_h0_with_rate,#d62728,cyclic_or_reversing,Cyclic / reversing,52,0.011627010195157848,0.010602516122162342,0.003671261040905777,0.002362776836469913,0.022608899153195895
best_gru,#2ca02c,mixed_complex,Mixed / complex,4,0.0025737078685779124,0.0020824421080760658,0.0010602323964121751,0.00039773389289621264,0.015560373663902283
paper_h0_no_rate,#1f77b4,mixed_complex,Mixed / complex,4,0.5018814280629158,0.5156912803649902,0.20525994896888733,0.15244760364294052,0.7408819645643234
paper_h0_with_rate,#d62728,mixed_complex,Mixed / complex,4,0.008469342603348196,0.007983462419360876,0.00348269019741565,0.0020859023497905582,0.02170608937740326
